Date,Distance,Job,Tax Deduction Value,Record Type,Details
04/07/2017,1.69 mi,,$0.90,automatic,"4630–4698 Dyer St, Union City, CA, US - 32115 Union Lndg, Union City, CA, US"
04/07/2017,7.35 mi,,$3.93,automatic,"32115 Union Lndg, Union City, CA, US - 34179 Tony Ter, Fremont, CA, US"
04/08/2017,5.74 mi,,$3.07,automatic,"34179 Tony Ter, Fremont, CA, US - 5035 Mowry Ave, Fremont, CA, US"
04/08/2017,6.35 mi,,$3.40,automatic,"5035 Mowry Ave, Fremont, CA, US - 34179 Tony Ter, Fremont, CA, US"
04/08/2017,16.85 mi,,$9.01,automatic,"34179 Tony Ter, Fremont, CA, US - 501 Mendocino Way, Redwood City, CA, US"
04/08/2017,12.60 mi,,$6.74,automatic,"US-101 S, Redwood City, CA, US - 34158 Tony Ter, Fremont, CA, US"
04/09/2017,31.32 mi,,$16.75,automatic,"34179 Tony Ter, Fremont, CA, US - 555 Showers Dr, Mountain View, CA, US"
04/09/2017,55.43 mi,,$29.66,automatic,"555 Showers Dr, Mountain View, CA, US - 34179 Tony Ter, Fremont, CA, US"
04/10/2017,61.57 mi,,$32.94,automatic,"34179 Tony Ter, Fremont, CA, US - 34179 Tony Ter, Fremont, CA, US"
04/11/2017,61.91 mi,,$33.12,manual,Uber driving in the afternoon 
04/13/2017,83.36 mi,,$44.60,automatic,"US-101 N, San Carlos, CA, US - 34179 Tony Ter, Fremont, CA, US"
04/14/2017,33.61 mi,,$17.98,automatic,"34187 Tony Ter, Fremont, CA, US - 301–329 O'Farrell St, San Francisco, CA, US"
04/14/2017,43.76 mi,,$23.41,automatic,"San Francisco, CA, US - 34179 Tony Ter, Fremont, CA, US"
04/15/2017,34.33 mi,,$18.37,automatic,"34179 Tony Ter, Fremont, CA, US - 1308–1398 Bush St, San Francisco, CA, US"
04/18/2017,101.55 mi,,$54.33,automatic,"Cupertino, CA, US - 34158 Tony Ter, Fremont, CA, US"
04/19/2017,22.85 mi,,$12.23,automatic,"34179 Tony Ter, Fremont, CA, US - 10218 Imperial Ave, Cupertino, CA, US"
